Name,FreeParams,Partitions,MixLogL,mAIC,LogL,AIC,BIC,RunT,Command
5avian_c60_init,37,NA,NA,1823415.3686,-911670.6843,1823415.3686,1823803.9375,0.37 h,../../iqtree2 -s 5_concated.nex -m MF -merit AIC -T 30 -mem 120G -pre 5avian_c60_init
avian5_c60_opt,77,NA,NA,1827641.3383,-913743.6691,1827641.3383,1828449.9818,0.12 h,../../iqtree2 -s ./5_concated.nex -m Q.BIRD+C60+I+R6 -te ../partition/Q/avian5_Q_search.treefile -mwopt -T 30 -mem 120G -safe -pre avian5_c60_opt
avian5_c60_unopt,18,NA,NA,1844094.1920,-922029.0960,1844094.1920,1844283.2255,1.60 h,../../iqtree2 -s ./5_concated.nex -m Q.BIRD+C60+I+R6 -te ../partition/Q/avian5_Q_search.treefile -T 30 -mem 120G -safe -pre avian5_c60_unopt
avian5_c60_search,7,NA,NA,1822287.9750,-911136.9875,1822287.9750,1822361.4880,0.87 h,../../iqtree2 -s 5_concated.nex -mdef avian5_c60_F_parameter.nex -m Q_BIRD_C60_F_I_R6 -t ../partition/Q/avian5_Q_search.treefile -bb 1000 --wbtl -T 30 --mem 120G -pre avian5_c60_search
avian5_c60_F,97,NA,NA,1822467.7644,-911136.8822,1822467.7644,1823486.4453,0.30 h,../../iqtree2 -s ./5_concated.nex -m Q.BIRD+C60+F+I+R6 -te ../partition/Q/avian5_Q_search.treefile -T 30 -mem 120G -safe -pre avian5_c60_F
avian5_p_mf,2880,151,-917042.6355,1839845.2710,-889725.7198,1785211.4397,1815456.8087,0.49 h,../../../iqtree2 -s 5_concated.nex -p 5_concated.nex -m MF+MERGE -merit AIC -T 7 -pre avian5_p_mf
avian5_p_search,2741,151,-917042.1633,1839566.3266,-889725.7200,1784933.4401,1813719.0500,0.06 h,../../../iqtree2 -s 5_concated.nex -p avian5_p_mf.best_model.nex -t avian5_p_mf.treefile -bb 1000 --wbtl -T 30 -pre avian5_p_search
avian5_q_mf,3321,194,-955316.4041,1917274.8082,-896261.0255,1799164.0509,1834040.7421,0.46 h,"../../../iqtree2 -s 5_concated.nex -q 5_concated.nex -m MF+MERGE -mrate E,I,G,I+G -merit AIC -T 7 -pre avian5_q_mf"
avian5_Q_mf,4180,169,-919805.6769,1847971.3537,-887637.1231,1783634.2461,1827532.0387,0.39 h,../../../iqtree2 -s 5_concated.nex -Q 5_concated.nex -m MF+MERGE -merit AIC -T 7 -pre avian5_Q_mf
avian5_Q_search,4019,169,-920105.6299,1848249.2598,-887637.1180,1783312.2360,1825519.2284,0.01 h,../../../iqtree2 -s 5_concated.nex -Q avian5_Q_mf.best_model.nex -t avian5_Q_mf.treefile -bb 1000 --wbtl -T 30 -pre avian5_Q_search
